Age,Flight Distance,Gender_Male,Customer Type_disloyal Customer,satisfaction_satisfied
13,460,True,False,False
25,235,True,True,False
26,1142,False,False,True
25,562,False,False,False
61,214,True,False,True
26,1180,False,False,False
47,1276,True,False,False
52,2035,False,False,True
41,853,False,False,False
20,1061,True,True,False
24,1182,False,True,False
12,308,False,False,False
53,834,True,False,False
33,946,True,False,True
26,453,False,False,False
13,486,True,True,False
26,2123,False,False,True
41,2075,True,False,True
45,2486,False,False,True
38,460,True,False,False
9,1174,True,False,False
17,208,False,False,False
43,752,False,False,False
58,2139,False,False,False
23,452,False,True,True
57,719,True,False,False
33,1561,False,False,True
49,315,False,False,True
36,3347,False,False,False
22,2342,True,False,False
31,819,False,False,True
15,1043,False,True,False
35,2611,False,False,True
67,1192,False,False,False
37,1182,True,True,False
40,349,False,False,False
34,883,False,True,False
40,550,True,False,False
47,302,False,False,True
41,354,True,True,False
39,1734,True,False,True
25,1452,False,True,False
41,296,True,False,True
38,2882,False,False,True
50,460,False,False,True
29,529,True,False,True
22,349,False,False,False
13,1522,False,False,False
54,612,True,False,True
21,1454,True,False,False
28,731,True,False,False
27,2076,True,False,True
69,309,False,False,True
35,775,True,False,False
60,861,False,False,False
45,3334,False,False,True
57,2496,False,False,True
40,602,True,False,True
38,308,False,True,False
23,446,True,True,False
39,216,True,True,False
52,3475,False,False,True
25,646,True,True,False
48,2501,False,False,True
59,2227,False,False,True
25,1426,True,False,True
38,190,True,False,False
46,1532,True,False,True
50,308,True,False,False
38,157,False,False,True
53,1506,False,False,True
30,205,True,False,False
39,895,True,True,False
66,516,True,False,False
45,909,True,False,False
25,1435,False,True,True
52,1190,True,False,False
64,1259,True,False,True
50,216,False,True,False
41,1670,False,True,False
26,3960,True,False,True
25,817,False,True,False
44,1670,False,True,False
21,861,False,True,True
47,406,True,False,True
31,404,True,False,True
57,500,False,False,False
44,689,True,False,False
45,3100,True,False,True
13,525,True,True,False
60,931,True,False,True
41,304,False,True,True
30,1896,True,False,False
51,261,False,False,True
61,347,False,False,True
32,1042,False,False,True
39,1773,False,False,False
19,342,True,False,False
15,297,False,False,False
